yearmon,Fairfield County,Hartford County,Litchfield County,Middlesex County,New Haven County,New London County,Tolland County,Windham County
20101,3.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0
20102,2.0,0.0,1.0,1.0,4.0,12.0,0.0,0.0
20103,6.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0
20104,44.0,4.0,0.0,0.0,8.0,18.0,1.0,0.0
20105,30.0,7.0,0.0,0.0,14.0,1.0,1.0,0.0
20106,3.0,11.0,0.0,2.0,3.0,4.0,0.0,0.0
20107,5.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0
20108,8.0,2.0,0.0,0.0,4.0,5.0,1.0,0.0
20109,6.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0
20111,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20112,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
20113,12.0,7.0,0.0,0.0,10.0,5.0,0.0,0.0
20114,17.0,1.0,1.0,2.0,5.0,6.0,0.0,0.0
20115,18.0,14.0,1.0,4.0,14.0,7.0,0.0,0.0
20116,13.0,13.0,1.0,1.0,14.0,10.0,2.0,0.0
20117,14.0,12.0,0.0,5.0,18.0,22.0,1.0,0.0
20118,10.0,7.0,7.0,1.0,12.0,13.0,1.0,0.0
20119,7.0,4.0,1.0,0.0,16.0,9.0,2.0,0.0
20121,3.0,3.0,0.0,0.0,1.0,6.0,0.0,1.0
20122,34.0,8.0,2.0,4.0,9.0,8.0,2.0,0.0
20123,33.0,15.0,4.0,2.0,18.0,10.0,1.0,0.0
20124,26.0,6.0,4.0,0.0,8.0,10.0,3.0,1.0
20125,29.0,12.0,1.0,1.0,12.0,2.0,0.0,1.0
20126,26.0,14.0,2.0,2.0,67.0,5.0,2.0,1.0
20127,23.0,7.0,0.0,5.0,20.0,10.0,0.0,2.0
20128,27.0,4.0,1.0,2.0,7.0,8.0,1.0,2.0
20129,38.0,5.0,0.0,5.0,15.0,4.0,1.0,2.0
20131,40.0,7.0,0.0,1.0,16.0,10.0,0.0,1.0
20132,36.0,12.0,1.0,2.0,10.0,6.0,0.0,0.0
20133,34.0,12.0,8.0,5.0,20.0,4.0,0.0,2.0
20134,23.0,16.0,6.0,1.0,10.0,15.0,2.0,0.0
20135,47.0,9.0,6.0,1.0,24.0,19.0,1.0,3.0
20136,32.0,18.0,1.0,1.0,16.0,8.0,1.0,0.0
20137,40.0,11.0,3.0,2.0,16.0,17.0,1.0,1.0
20138,50.0,29.0,6.0,6.0,23.0,60.0,4.0,5.0
20139,35.0,13.0,2.0,1.0,8.0,28.0,1.0,6.0
20141,23.0,9.0,1.0,2.0,10.0,5.0,0.0,7.0
20142,14.0,0.0,0.0,0.0,9.0,11.0,1.0,4.0
20143,18.0,7.0,1.0,2.0,4.0,11.0,0.0,2.0
20144,34.0,5.0,0.0,0.0,11.0,9.0,0.0,6.0
20145,38.0,7.0,6.0,3.0,15.0,39.0,0.0,11.0
20146,34.0,11.0,1.0,6.0,10.0,12.0,0.0,5.0
20147,25.0,8.0,1.0,1.0,10.0,12.0,3.0,3.0
20148,52.0,10.0,2.0,3.0,16.0,18.0,1.0,4.0
20149,22.0,8.0,0.0,6.0,6.0,23.0,1.0,6.0
20151,28.0,8.0,0.0,0.0,3.0,10.0,0.0,0.0
20152,14.0,3.0,0.0,2.0,4.0,5.0,0.0,0.0
20153,20.0,3.0,1.0,0.0,14.0,7.0,1.0,1.0
20154,70.0,16.0,5.0,4.0,8.0,23.0,1.0,1.0
20155,90.0,47.0,6.0,5.0,26.0,20.0,5.0,2.0
20156,62.0,16.0,1.0,6.0,32.0,17.0,1.0,2.0
20157,78.0,39.0,3.0,5.0,32.0,33.0,8.0,3.0
20158,40.0,4.0,6.0,3.0,14.0,17.0,1.0,1.0
20159,22.0,4.0,2.0,1.0,8.0,14.0,1.0,1.0
20161,31.0,11.0,2.0,1.0,9.0,15.0,0.0,2.0
20162,49.0,26.0,0.0,4.0,24.0,23.0,11.0,0.0
20163,36.0,11.0,1.0,4.0,10.0,9.0,3.0,1.0
20164,71.0,16.0,0.0,6.0,19.0,22.0,5.0,3.0
20165,80.0,36.0,1.0,4.0,29.0,10.0,6.0,1.0
20166,73.0,11.0,0.0,7.0,21.0,18.0,4.0,2.0
20167,80.0,10.0,8.0,2.0,20.0,11.0,3.0,0.0
20168,55.0,14.0,1.0,5.0,11.0,17.0,1.0,3.0
20169,54.0,2.0,0.0,1.0,1.0,7.0,1.0,0.0
20171,48.0,13.0,1.0,0.0,5.0,22.0,0.0,3.0
20172,82.0,13.0,1.0,1.0,3.0,10.0,0.0,0.0
20173,91.0,14.0,1.0,5.0,8.0,13.0,3.0,1.0
20174,94.0,14.0,1.0,4.0,20.0,17.0,0.0,0.0
20175,122.0,19.0,29.0,5.0,28.0,23.0,3.0,1.0
20176,76.0,26.0,7.0,5.0,18.0,11.0,3.0,1.0
20177,94.0,33.0,11.0,7.0,29.0,11.0,2.0,0.0
20178,86.0,21.0,2.0,4.0,25.0,6.0,1.0,3.0
20179,65.0,17.0,2.0,2.0,13.0,8.0,0.0,8.0
20181,66.0,3.0,0.0,5.0,12.0,10.0,1.0,0.0
20182,83.0,8.0,1.0,3.0,13.0,7.0,4.0,0.0
20183,71.0,2.0,2.0,2.0,18.0,17.0,3.0,0.0
20184,96.0,8.0,2.0,1.0,14.0,13.0,0.0,1.0
20185,151.0,20.0,2.0,3.0,19.0,28.0,2.0,7.0
20186,114.0,24.0,3.0,3.0,15.0,124.0,4.0,2.0
20187,93.0,17.0,4.0,2.0,5.0,128.0,3.0,3.0
20188,111.0,15.0,4.0,0.0,17.0,182.0,4.0,1.0
20189,88.0,9.0,6.0,6.0,14.0,141.0,1.0,2.0
201010,6.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0
201011,6.0,1.0,0.0,0.0,2.0,7.0,2.0,0.0
201012,4.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0
201110,7.0,4.0,0.0,1.0,5.0,6.0,1.0,0.0
201111,5.0,4.0,1.0,1.0,2.0,10.0,1.0,0.0
201112,6.0,4.0,1.0,1.0,11.0,5.0,2.0,0.0
201210,40.0,2.0,0.0,2.0,8.0,13.0,1.0,2.0
201211,14.0,9.0,2.0,1.0,7.0,5.0,2.0,1.0
201212,25.0,5.0,1.0,2.0,15.0,9.0,0.0,1.0
201310,31.0,17.0,2.0,1.0,4.0,24.0,2.0,1.0
201311,17.0,12.0,0.0,3.0,13.0,12.0,0.0,1.0
201312,11.0,6.0,0.0,3.0,5.0,3.0,0.0,2.0
201410,33.0,9.0,2.0,3.0,11.0,38.0,0.0,7.0
201411,12.0,7.0,1.0,1.0,2.0,10.0,1.0,2.0
201412,8.0,5.0,2.0,0.0,6.0,11.0,2.0,1.0
201510,32.0,10.0,4.0,1.0,16.0,13.0,0.0,0.0
201511,18.0,5.0,2.0,0.0,4.0,16.0,0.0,2.0
201512,20.0,8.0,0.0,1.0,11.0,5.0,1.0,1.0
201610,103.0,4.0,1.0,0.0,3.0,11.0,0.0,1.0
201611,119.0,4.0,0.0,0.0,5.0,16.0,0.0,0.0
201612,72.0,10.0,1.0,4.0,2.0,6.0,0.0,1.0
201710,66.0,20.0,1.0,4.0,25.0,15.0,5.0,2.0
201711,59.0,10.0,2.0,0.0,11.0,5.0,0.0,1.0
201712,51.0,10.0,0.0,1.0,11.0,3.0,1.0,0.0
201810,84.0,5.0,1.0,1.0,9.0,69.0,1.0,10.0
201811,84.0,5.0,0.0,4.0,5.0,79.0,1.0,1.0
201812,84.0,7.0,2.0,0.0,4.0,152.0,2.0,2.0
